1,99,44,1
2,77,12,1
3,70,79,1
4,75,78,1
5,72,50,1
6,28,21,1
7,63,12,1
8,63,71,1
9,90,7,1
10,57,60,1
11,65,67,1
12,46,25,1
13,56,81,1
14,27,66,1
15,61,64,1
16,74,24,1
17,37,90,1
18,42,71,1
19,84,96,1
20,79,83,1
21,68,51,1
22,61,93,1
23,36,6,1
24,31,60,1
25,95,35,1
26,84,46,1
27,18,87,1
28,78,61,1
29,48,26,1
30,36,37,1
31,99,53,1
32,76,26,1
33,49,62,1
34,92,35,1
35,20,82,1
36,77,69,1
37,71,93,1
38,69,47,1
39,36,88,1
40,30,90,1
41,32,67,1
42,82,26,1
43,64,92,1
44,85,86,1
45,1,48,1
46,79,63,1
47,54,41,1
48,74,32,1
49,32,39,1
50,42,97,1
51,21,15,1
52,32,83,1
53,55,91,1
54,28,95,1
55,42,59,1
56,67,17,1
57,20,96,1
58,72,24,1
59,99,94,1
60,68,84,1
61,94,96,1
62,13,37,1
63,10,78,1
64,53,99,1
65,15,66,1
66,58,69,1
67,63,55,1
68,78,13,1
69,42,34,1
70,34,60,1
71,32,47,1
72,75,25,1
73,14,58,1
74,68,22,1
75,90,33,1
76,19,4,1
77,94,82,1
78,58,70,1
79,40,19,1
80,36,36,1
81,12,82,1
82,53,41,1
83,68,29,1
84,4,46,1
85,31,56,1
86,98,80,1
87,25,66,1
88,19,92,1
89,37,55,1
90,68,87,1
91,50,24,1
92,3,61,1
93,77,41,1
94,73,92,1
95,65,91,1
96,48,93,1
97,97,39,1
98,38,99,1
99,68,11,1
100,94,86,1
101,53,75,1
102,28,52,1
103,17,58,1
104,69,4,1
105,20,48,1
106,45,1,1
107,55,93,1
108,82,42,1
109,63,8,1
110,56,9,1
111,5,97,1
112,59,63,1
113,30,27,1
114,98,77,1
115,61,87,1
116,17,16,1
117,81,18,1
118,65,42,1
119,46,3,1
120,74,34,1
121,73,14,1
122,84,37,1
123,12,75,1
124,70,48,1
125,46,24,1
126,30,97,1
127,64,20,1
128,59,59,1
129,48,16,1
130,34,97,1
131,33,63,1
132,73,48,1
133,28,69,1
134,40,69,1
135,60,47,1
136,33,60,1
137,92,93,1
138,64,63,1
139,68,94,1
140,57,72,1
141,68,65,1
142,18,7,1
143,74,47,1
144,87,78,1
145,42,33,1
146,60,86,1
147,61,30,1
148,45,8,1
149,80,12,1
150,96,76,1
151,70,8,1
152,49,58,1
153,46,89,1
154,2,91,1
155,37,94,1
156,82,49,1
157,70,94,1
158,99,57,1
159,57,93,1
160,86,9,1
161,94,80,1
162,29,25,1
1,99,44,2
2,78,12,2
3,70,79,2
4,75,78,2
5,72,51,2
6,29,20,2
7,62,11,2
8,62,70,2
9,90,7,2
10,56,59,2
11,64,68,2
12,47,25,2
13,55,80,2
14,27,67,2
15,62,64,2
16,73,23,2
17,36,90,2
18,42,72,2
19,83,96,2
20,79,83,2
21,69,52,2
22,62,94,2
23,35,6,2
24,31,60,2
25,96,35,2
26,84,47,2
27,17,86,2
28,77,61,2
29,48,27,2
30,36,38,2
31,98,52,2
32,75,26,2
33,50,63,2
34,92,36,2
35,21,81,2
36,76,70,2
37,69,93,2
38,68,47,2
39,37,89,2
40,31,91,2
41,32,66,2
42,82,26,2
43,63,93,2
44,84,87,2
45,1,48,2
46,80,62,2
47,53,42,2
48,75,33,2
49,31,39,2
50,42,98,2
51,22,14,2
52,32,84,2
53,54,90,2
54,29,95,2
55,42,59,2
56,68,16,2
57,19,95,2
58,71,23,2
59,98,93,2
60,69,85,2
61,94,97,2
62,14,37,2
63,11,77,2
64,54,98,2
65,16,67,2
66,59,69,2
67,62,55,2
68,79,13,2
69,41,33,2
70,34,61,2
71,31,48,2
72,76,25,2
73,13,58,2
74,69,22,2
75,90,33,2
76,19,4,2
77,94,81,2
78,58,70,2
79,39,19,2
80,37,35,2
81,13,81,2
82,54,40,2
83,69,30,2
84,4,46,2
85,30,57,2
86,98,80,2
87,24,65,2
88,20,91,2
89,36,54,2
90,68,87,2
91,50,23,2
92,2,60,2
93,77,40,2
94,73,92,2
95,66,92,2
96,49,94,2
97,96,40,2
98,37,98,2
99,69,11,2
100,93,87,2
101,52,76,2
102,28,51,2
103,18,57,2
104,68,3,2
105,21,47,2
106,46,2,2
107,56,93,2
108,83,41,2
109,62,8,2
110,55,9,2
111,4,98,2
112,58,64,2
113,29,27,2
114,99,78,2
115,60,87,2
116,16,15,2
117,81,18,2
118,64,42,2
119,45,3,2
120,73,34,2
121,74,14,2
122,83,37,2
123,12,76,2
124,70,47,2
125,45,25,2
126,31,96,2
127,64,20,2
128,59,58,2
129,49,17,2
130,33,98,2
131,33,63,2
132,72,48,2
133,28,68,2
134,39,70,2
135,61,46,2
136,33,60,2
137,93,94,2
138,65,64,2
139,67,95,2
140,58,72,2
141,68,64,2
142,19,6,2
143,75,47,2
144,87,77,2
145,42,34,2
146,60,86,2
147,62,31,2
148,44,9,2
149,80,12,2
150,96,75,2
151,71,9,2
